day_partition,region,country,locations,overall_daily_active,overall_daily_access,overall_monthly_active,overall_monthly_access,stickiness_overall,adoption_daily_overall,adoption_monthly_overall,overall_revenue,core_daily_active,core_daily_access,core_monthly_active,core_monthly_access,stickiness_core,adoption_daily_core,adoption_monthly_core,core_monthly_revenue,premium_daily_active,premium_daily_access,premium_monthly_active,premium_monthly_access,stickiness_premium,adoption_daily_premium,adoption_monthly_premium,premium_activation_revenue,premium_monthly_revenue,custom_websites_daily_active,custom_websites_daily_access,custom_websites_monthly_active,custom_websites_monthly_access,stickiness_custom_websites,adoption_daily_custom_websites,adoption_monthly_custom_websites,custom_website_monthly_revenue,promos_daily_active,promos_daily_access,promos_monthly_active,promos_monthly_access,stickiness_promos,adoption_daily_promos,adoption_monthly_promos,promos_monthly_revenue,basic_insights_daily_active,basic_insights_daily_access,basic_insights_monthly_active,basic_insights_monthly_access,stickiness_basic_insights,adoption_daily_basic_insights,adoption_monthly_basic_insights,basic_insights_monthly_revenue,adv_insights_daily_active,adv_insights_daily_access,adv_insights_monthly_active,adv_insights_monthly_access,stickiness_adv_insights,adoption_daily_adv_insights,adoption_monthly_adv_insights,adv_insights_annual_revenue,super_insights_daily_active,super_insights_daily_access,super_insights_monthly_active,super_insights_monthly_access,stickiness_super_insights,adoption_daily_super_insights,adoption_monthly_super_insights,super_insights_revenue
2022-06-18,Region 2,Country 4,5993,1739,3715,3010,3904,0.57774086378737544,0.46810228802153431,0.77100409836065575,15125,1561,2423,2090,2653,0.74688995215311,0.64424267437061489,0.78778741047870338,0,64,289,87,325,0.735632183908046,0.22145328719723184,0.26769230769230767,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,262,2837,1750,3413,0.14971428571428572,0.092351075079309133,0.51274538529153235,0,2,63,1253,1309,0.0015961691939345571,0.031746031746031744,0.95721925133689845,0,605,617,2099,2108,0.28823249166269654,0.98055105348460292,0.99573055028463,15125
2022-06-19,Region 2,Country 4,5991,1662,3715,3003,3896,0.55344655344655347,0.44737550471063259,0.77079055441478439,14475,1434,2405,2086,2646,0.68744007670182172,0.59625779625779629,0.78835978835978837,0,49,276,87,324,0.56321839080459768,0.17753623188405798,0.26851851851851855,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,364,2818,1747,3404,0.20835718374356038,0.12916962384669978,0.513219741480611,0,40,101,1253,1309,0.03192338387869114,0.39603960396039606,0.95721925133689845,0,579,592,2090,2099,0.27703349282296652,0.97804054054054057,0.99571224392567892,14475
2022-06-20,Region 2,Country 4,6072,2221,3784,3087,3968,0.71946873987690318,0.58694503171247359,0.77797379032258063,32200,1477,2422,2106,2658,0.701329534662868,0.60982658959537572,0.79232505643340856,0,64,288,88,325,0.72727272727272729,0.22222222222222221,0.27076923076923076,150,0,0,0,0,0,,,,0,0,0,0,0,,,,0,1035,3189,1817,3467,0.569620253164557,0.32455315145813735,0.524084222670897,0,454,511,1263,1319,0.3594615993665875,0.88845401174168293,0.95754359363153907,100,1278,1288,2168,2177,0.58948339483394829,0.99223602484472051,0.99586587046394115,31950
2022-06-21,Region 2,Country 4,6238,2423,3936,3250,4127,0.74553846153846148,0.615599593495935,0.78749697116549555,35910,1597,2436,2120,2665,0.7533018867924528,0.65558292282430208,0.79549718574108819,0,68,293,88,326,0.77272727272727271,0.23208191126279865,0.26993865030674846,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,1126,3325,1979,3624,0.56897422940879228,0.33864661654135336,0.54608167770419425,0,458,511,1474,1529,0.310719131614654,0.89628180039138938,0.96402877697841727,2110,1352,1363,2327,2336,0.58100558659217882,0.991929567131328,0.9961472602739726,33800
2022-06-22,Region 2,Country 4,6257,2162,3947,3256,4118,0.664004914004914,0.54775779072713449,0.79067508499271488,26770,1616,2454,2125,2661,0.76047058823529412,0.658516707416463,0.79857196542653142,0,66,292,88,326,0.75,0.22602739726027396,0.26993865030674846,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,848,3160,1992,3618,0.42570281124497994,0.26835443037974682,0.55058043117744615,0,395,455,1476,1533,0.2676151761517615,0.86813186813186816,0.96281800391389427,20,1070,1080,2343,2352,0.4566794707639778,0.9907407407407407,0.99617346938775508,26750
2022-06-23,Region 2,Country 4,6290,2552,3968,3274,4137,0.77947464874770922,0.64314516129032262,0.79139473048102493,35395,1660,2454,2129,2663,0.77970878346641614,0.67644661776691117,0.79947427713105523,0,68,293,89,324,0.7640449438202247,0.23208191126279865,0.27469135802469136,150,0,0,0,0,0,,,,0,0,0,0,0,,,,0,1146,3303,2009,3635,0.57043305126928823,0.34695731153496823,0.55268225584594222,0,693,754,1483,1538,0.46729602157788269,0.91909814323607431,0.96423927178153446,70,1407,1418,2366,2375,0.59467455621301779,0.99224259520451341,0.99621052631578944,35175
2022-06-24,Region 2,Country 4,6307,2440,3974,3283,4146,0.74322266219920807,0.61399094111726216,0.79184756391702849,32275,1656,2463,2134,2668,0.77600749765698218,0.67235079171741774,0.7998500749625187,0,70,295,89,324,0.7865168539325843,0.23728813559322035,0.27469135802469136,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,1073,3364,2017,3644,0.53197818542389685,0.31896551724137934,0.55351262349066954,0,660,723,1481,1537,0.44564483457123566,0.91286307053941906,0.96356538711776185,0,1291,1300,2384,2392,0.54152684563758391,0.99307692307692308,0.99665551839464883,32275
2022-06-25,Region 2,Country 4,6309,1780,3978,3274,4145,0.54367745876603546,0.44746103569632983,0.78986731001206267,15225,1579,2446,2128,2667,0.74201127819548873,0.64554374488961574,0.79790026246719159,0,68,293,89,324,0.7640449438202247,0.23208191126279865,0.27469135802469136,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,393,2928,2018,3643,0.19474727452923687,0.13422131147540983,0.55393906121328573,0,5,68,1480,1536,0.0033783783783783786,0.073529411764705885,0.96354166666666663,0,609,620,2380,2388,0.25588235294117645,0.98225806451612907,0.99664991624790622,15225
2022-06-26,Region 2,Country 4,6308,1935,3979,3264,4135,0.59283088235294112,0.486303091228952,0.78935912938331321,20685,1463,2443,2115,2658,0.691725768321513,0.59885386819484243,0.79571106094808131,0,47,274,89,318,0.5280898876404494,0.17153284671532848,0.279874213836478,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,582,3078,2018,3635,0.288404360753221,0.18908382066276802,0.55515818431911967,0,256,319,1481,1537,0.17285617825793384,0.80250783699059558,0.96356538711776185,10,827,840,2374,2382,0.34835720303285594,0.98452380952380958,0.99664147774979006,20675
2022-06-27,Region 2,Country 4,6337,2372,3979,3273,4152,0.72471738466238922,0.59612968082432771,0.78829479768786126,35555,1493,2441,2120,2669,0.70424528301886791,0.61163457599344528,0.79430498313975273,0,61,287,89,318,0.6853932584269663,0.21254355400696864,0.279874213836478,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,1208,3373,2025,3646,0.59654320987654319,0.35813815594426329,0.55540318156884261,0,429,492,1484,1540,0.28908355795148249,0.87195121951219512,0.96363636363636362,30,1421,1431,2386,2394,0.5955574182732607,0.99301187980433259,0.99665831244778613,35525
